epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,8760.32,0.77971,0.46931,1.1856,0.96937,0.97517,0.98605,0.81401,0.68048,0.31943,1.09882,0.000533064,0.000533064,0.000533064
68,8890.4,0.77083,0.46472,1.18132,0.9712,0.97291,0.98502,0.81568,0.68156,0.31242,1.09752,0.000506049,0.000506049,0.000506049
69,9027.78,0.75302,0.45562,1.17103,0.96575,0.97607,0.98476,0.81727,0.67841,0.31923,1.10162,0.000479531,0.000479531,0.000479531
70,9162.82,0.75589,0.46106,1.17621,0.96788,0.97482,0.98533,0.81523,0.68123,0.3098,1.09876,0.000453537,0.000453537,0.000453537
71,9293.6,0.76431,0.46247,1.18406,0.97149,0.97448,0.98456,0.81686,0.67546,0.30406,1.09632,0.000428093,0.000428093,0.000428093
72,9424.46,0.75866,0.45444,1.17079,0.96526,0.98253,0.98578,0.82097,0.67177,0.30066,1.09142,0.000403222,0.000403222,0.000403222
73,9558.58,0.75287,0.44961,1.1716,0.97433,0.9712,0.98605,0.82068,0.66015,0.29765,1.08732,0.00037895,0.00037895,0.00037895
74,9679.67,0.74899,0.44248,1.16156,0.96927,0.97321,0.98587,0.82184,0.66591,0.30167,1.09486,0.000355301,0.000355301,0.000355301
75,9805.86,0.75091,0.44664,1.16328,0.97289,0.97211,0.98553,0.82062,0.67132,0.29758,1.09389,0.000332298,0.000332298,0.000332298
76,9932.21,0.75006,0.45113,1.16723,0.97146,0.9733,0.98635,0.82184,0.67097,0.29853,1.0903,0.000309964,0.000309964,0.000309964
77,10054.6,0.7408,0.44485,1.16173,0.96457,0.98044,0.98588,0.82092,0.66235,0.29041,1.0808,0.000288321,0.000288321,0.000288321
78,10176,0.75351,0.45109,1.16851,0.97169,0.97893,0.9865,0.82555,0.6506,0.28854,1.07518,0.00026739,0.00026739,0.00026739
79,10308,0.73992,0.43735,1.16435,0.96555,0.98044,0.98596,0.82267,0.65731,0.2906,1.08109,0.000247192,0.000247192,0.000247192
80,10439.4,0.73432,0.43812,1.16064,0.96484,0.98269,0.9862,0.82438,0.64789,0.28905,1.08096,0.000227747,0.000227747,0.000227747
81,10560.7,0.73381,0.43347,1.1588,0.961,0.98276,0.98637,0.8262,0.65126,0.28876,1.07987,0.000209073,0.000209073,0.000209073
82,10691.7,0.73665,0.43895,1.15842,0.96772,0.97968,0.98639,0.82664,0.64642,0.28816,1.0748,0.00019119,0.00019119,0.00019119
83,10833.1,0.73543,0.43333,1.15459,0.97211,0.97743,0.98652,0.82504,0.6528,0.29018,1.08048,0.000174115,0.000174115,0.000174115
84,10968.4,0.73492,0.43635,1.16046,0.96665,0.98158,0.98645,0.82783,0.64531,0.28685,1.07368,0.000157865,0.000157865,0.000157865
85,11095.6,0.71734,0.42354,1.14827,0.96942,0.97785,0.98635,0.82709,0.64647,0.28535,1.07597,0.000142456,0.000142456,0.000142456
86,11224.1,0.72617,0.4296,1.15418,0.9722,0.97372,0.98632,0.82734,0.64714,0.28432,1.07583,0.000127904,0.000127904,0.000127904
87,11351.1,0.72521,0.43227,1.14875,0.97317,0.97291,0.98646,0.82529,0.64838,0.28414,1.07672,0.000114221,0.000114221,0.000114221
88,11488.6,0.72663,0.427,1.15357,0.97081,0.97597,0.98653,0.82685,0.64501,0.28471,1.07472,0.000101423,0.000101423,0.000101423
89,11617.6,0.71626,0.42221,1.15107,0.96929,0.97743,0.98643,0.82725,0.641,0.28176,1.07095,8.95213e-05,8.95213e-05,8.95213e-05
90,11749.8,0.71413,0.41851,1.14526,0.96875,0.97971,0.98624,0.82873,0.636,0.28246,1.06963,7.8528e-05,7.8528e-05,7.8528e-05
91,11947.5,0.68571,0.31767,1.14137,0.96579,0.97714,0.98616,0.82738,0.6455,0.28658,1.07036,6.8454e-05,6.8454e-05,6.8454e-05
92,12080.7,0.67958,0.30932,1.13582,0.95954,0.98154,0.98639,0.82777,0.6429,0.28487,1.07109,5.93093e-05,5.93093e-05,5.93093e-05
93,12213.1,0.67012,0.30589,1.12712,0.96601,0.97743,0.98662,0.82795,0.64225,0.28324,1.06835,5.11027e-05,5.11027e-05,5.11027e-05
94,12343.2,0.65995,0.29734,1.12025,0.97373,0.9699,0.98663,0.82731,0.63747,0.28372,1.06845,4.38424e-05,4.38424e-05,4.38424e-05
95,12471.5,0.65618,0.29551,1.11595,0.96556,0.97743,0.98667,0.82743,0.63774,0.28205,1.06911,3.75356e-05,3.75356e-05,3.75356e-05
96,12604,0.66004,0.29771,1.12563,0.9682,0.97592,0.98664,0.82825,0.63851,0.28212,1.06528,3.21885e-05,3.21885e-05,3.21885e-05
97,12739.2,0.65307,0.2961,1.11881,0.96845,0.97893,0.98668,0.82796,0.63711,0.28113,1.0647,2.78064e-05,2.78064e-05,2.78064e-05
98,12875.1,0.65285,0.29458,1.11545,0.96934,0.97529,0.98662,0.82908,0.63503,0.2808,1.06436,2.43937e-05,2.43937e-05,2.43937e-05
99,13010.2,0.648,0.29105,1.10806,0.97302,0.97216,0.9866,0.82916,0.63331,0.28025,1.06597,2.19535e-05,2.19535e-05,2.19535e-05
100,13143.9,0.65671,0.29923,1.12169,0.96949,0.97366,0.98668,0.82863,0.63464,0.27972,1.06523,2.04885e-05,2.04885e-05,2.04885e-05
